id,name,party,,,,
uvdl,Ursula von der Leyen,CDU,,,,
lk,Lars Kingbell,SPD,,,,
nr,Nobert Röttgen,CDU,,,,
sw,Sarah Wagenknecht,Linke,,,,
cs,Constanze Stelzenmüller,NA,,,,
cl,Christian Lindner,FDP,,,,
ab,Annalena Baerbock,Grüne,,,,
ft,Frans Timmermans,NA,,,,
am,Andrij Melnyk,NA,,,,
agl,Alexander Graf Lambsdorff,FDP,,,,
er,Egon Ramms,NA,,,,
rh,Robert Habeck,Grüne,,,,
rk,Roderich Kiesewetter,CDU,,,,
ks,Karl Schlögel,NA,,,,
lm,Ljudmyla Melnyk,NA,,,,
kd,Kristina Dunz,NA,,,,
el,Egils Levits,NA,,,,
cm,Claudia Major,NA,,,,
kp,Katja Petrowskaja,NA,,,,
500,500,NA,,,,
501,501,NA,,,,
502,502,NA,,,,
503,503,NA,,,,
CDU,CDU,NA,,,,s
FDP,FDP,NA,,,,
SPD,SPD,NA,,,,
Linke,Linke,NA,,,,
Grüne,Grüne,NA,,,,
